name;nationality;position;overall;age;real_team;device
Niki Mäenpää;Finland;GK;69;35;Bristol City;2
Laurent Walthert;Switzerland;GK;66;36;Neuchâtel Xamax FCS;2
Alexis;Spain;CB;69;34;Real Racing Club;2
Simon Francis;England;RB|CB;74;35;AFC Bournemouth;2
Wes Morgan;Jamaica;CB;74;36;Leicester City;2
Jung Jo Gook;Korea Republic;ST;68;36;Jeju United FC;2
Lee Dong Gook;Korea Republic;ST;69;41;Jeonbuk Hyundai Motors;2
Kim Young Kwang;Korea Republic;GK;68;37;Seongnam FC;2
Paul Jones;England;GK;61;34;Sheffield Wednesday;2
Luis Jiménez;Chile;CAM|CF;73;36;CD Palestino;2
Daniel Baier;Germany;CDM|CM;77;36;FC Augsburg;2
Christophe Lepoint;Belgium;CB|CM|CAM;68;35;KV Kortrijk;2
Giampaolo Pazzini;Italy;ST;71;35;Hellas Verona;2
Daniele Gastaldello;Italy;CB;68;37;Brescia;2
Alessandro Rosina;Italy;CAM|RW;68;36;Salerno;2
Jürgen Gjasula;lbania;CB|CDM;66;34;1. FC Magdeburg;2
Goran Pandev;North Macedonia;ST|RW;73;37;Genoa;2
Michel Vorm;Netherlands;GK;74;36;Tottenham Hotspur;2
Domenico Maietta;Italy;CB;71;37;Empoli;2
Nicky Hunt;England;RB|CB;57;36;Crewe Alexandra;2
Bruno Alves;Portugal;CB;73;38;Parma;2
Darren Potter;Republic of Ireland;CDM|CM;64;35;Tranmere Rovers;2
Richard Foster;Scotland;RWB|RB|LB|RW;64;34;Ross County FC;2
Angulo;Spain;ST;72;36;Górnik Zabrze;2
James Milner;England;RB|LB|CM;81;34;Liverpool;2
Roman Hubník;Czech Republic;CB;72;36;Viktoria Plzen;2
Chris O'Grady;England;ST;60;34;Bolton Wanderers;2
Billy Jones;England;RB;66;33;Rotherham United;2
Germán Lux;Argentina;GK;73;38;River Plate;2
Maximiliano López;Argentina;ST;71;36;Crotone;2
Dean Lewington;England;LB|LWB|LW;64;36;Milton Keynes Dons;2
Davide Moscardelli;Italy;ST|CF;69;40;Pisa;2
Roberto Vitiello;Italy;RB|CB;65;37;Castellammare di Stabia;2
Antolín Alcaraz;Paraguay;CB;73;37;Club Olimpia;2
Giorgio Chiellini;Italy;CB;88;35;Juventus;2
Willy Caballero;Argentina;GK;75;38;Chelsea;2
Leonardo Ponzio;Argentina;CB|CDM;74;38;River Plate;2
Nani;Portugal;RW|LW;80;33;Orlando City Soccer Club;2
Luis Michel;Mexico;GK;64;41;Club Tijuana;2
Daniel Lopar;Switzerland;GK;67;35;Western Sydney Wanderers;2
Boštjan Cesar;Slovenia;CB;71;38;Chievo Verona;2
David Nugent;England;ST;67;35;Preston North End;2
Christian Fuchs;Austria;LB;73;34;Leicester City;2
Jason Shackell;England;CB;66;36;Lincoln City;2
Matt Harrold;England;ST;60;36;Leyton Orient;2
Dean Gerken;England;GK;66;35;Colchester United;2
Craig Conway;Scotland;RM|LM;64;35;Salford City;2
Federico Marchetti;Italy;GK;72;37;Genoa;2
Vincent Kompany;Belgium;CB;82;34;RSC Anderlecht;2
Santiago Silva;Uruguay;ST;72;39;Argentinos Juniors;2
Jérémy Morel;Madagascar;LB|CB;76;36;Stade Rennais FC;2
Rafael;Brazil;GK;73;38;Cagliari;2
Hitoshi Sogahata;Japan;GK;66;40;Kashima Antlers;2
Yasuhito Endo;Japan;CDM|CM|CAM;71;40;Gamba Osaka;2
Yoshito Okubo;Japan;ST|CAM;67;38;Júbilo Iwata;2
Paulo Da Silva;Paraguay;CB;68;40;Club Libertad;2
Guillermo Ochoa;Mexico;GK;78;35;Club América;2
Antonio Mirante;Italy;GK;78;37;Roma;2
Peter Cherrie;Scotland;GK;59;36;Derry City;2
Jô;Brazil;ST;74;33;Nagoya Grampus;2
Brian Murphy;Republic of Ireland;GK;62;37;Waterford FC;2
Alex Baptiste;England;RB|CB;65;34;Doncaster Rovers;2
Jake Buxton;England;CB;67;35;Burton Albion;2
Chris Beardsley;England;ST;59;36;Burton Albion;2
Andy Butler;England;CB;63;36;Scunthorpe United;2
Ross Wallace;Scotland;RM|CM;67;35;St. Mirren;2
David Marshall;Scotland;GK;71;35;Wigan Athletic;2
Ragnar Klavan;Estonia;CB;75;34;Cagliari;2
Zlatko Dedic;Slovenia;ST|LW;69;35;WSG Swarovski Tirol;2
Krisztián Vadócz;Hungary;CDM|CM;71;35;Club Atlético Peñarol;2
Sammy Bossut;Belgium;GK;72;34;SV Zulte Waregem;2
Johnny Thomsen;Denmark;RB;65;38;Randers FC;2
Mark McNulty;Republic of Ireland;GK;61;39;Cork City;2
Aitor Sanz;Spain;CDM;71;35;CD Tenerife;2
Lisandro López;Argentina;ST;80;37;Racing Club;2
Carlos Araujo;Argentina;RB|LB;71;38;Club Atlético Huracán;2
Marcelo Barovero;Argentina;GK;75;36;Monterrey;2
Javier Mascherano;Argentina;CB|CDM|CM;79;36;Estudiantes de La Plata;2
Jonathan Bottinelli;Argentina;CB;72;35;Unión de Santa Fe;2
Walter Montillo;Argentina;CAM;72;36;Universidad de Chile;2
Pablo Zabaleta;Argentina;RB;74;35;West Ham United;2
Jonás Gutiérrez;Argentina;RB|CM;70;37;Club Atlético Banfield;2
Andriy Pyatov;Ukraine;GK;77;36;Shakhtar Donetsk;2
Javier Gandolfi;Argentina;CB;71;39;Club Atlético Talleres;2
Román Martínez;Argentina;CM;71;37;Club Atlético Aldosivi;2
Mariano Barbosa;Argentina;GK;75;36;Villarreal CF;2
Enrique Bologna;Argentina;GK;71;38;River Plate;2
Jesús Dátolo;Argentina;CM|CAM;75;36;Club Atlético Banfield;2
Carlos Tévez;Argentina;ST|CAM;78;36;Boca Juniors;2
Gustavo Lorenzetti;Chile;CM|CAM;69;35;Deportes Iquique;2
Emiliano Papa;Argentina;LB;70;38;Arsenal de Sarandí;2
Alejandro Gómez;Argentina;ST|CAM|CF;86;32;Atalanta;2
José Sosa;Argentina;CDM|CM;80;35;Trabzonspor;2
Fernando Belluschi;Argentina;CM|CAM;73;36;Club Atlético Lanús;2
Luciano Pocrnjic;Argentina;GK;71;38;Club Atlético Aldosivi;2
Gökhan Gönül;Turkey;RB;74;35;Besiktas JK;2
Arda Turan;Turkey;LM|CM;76;33;FC Barcelona;2
Ferhat Öztorun;Turkey;LB;68;33;Konyaspor;2
Muhammet Demir;Turkey;ST|CAM;71;28;Gazisehir Gaziantep Futbol Kulübü;2
