name;nationality;position;overall;age;real_team;device
Daniel Lopar;Switzerland;GK;67;35;Western Sydney Wanderers;Playstation
Boštjan Cesar;Slovenia;CB;71;38;Chievo Verona;Playstation
David Nugent;England;ST;67;35;Preston North End;Playstation
Christian Fuchs;Austria;LB;73;34;Leicester City;Playstation
Jason Shackell;England;CB;66;36;Lincoln City;Playstation
Matt Harrold;England;ST;60;36;Leyton Orient;Playstation
Dean Gerken;England;GK;66;35;Colchester United;Playstation
Craig Conway;Scotland;RM|LM;64;35;Salford City;Playstation
Federico Marchetti;Italy;GK;72;37;Genoa;Playstation
Vincent Kompany;Belgium;CB;82;34;RSC Anderlecht;Playstation
Santiago Silva;Uruguay;ST;72;39;Argentinos Juniors;Playstation
Jérémy Morel;Madagascar;LB|CB;76;36;Stade Rennais FC;Playstation
Rafael;Brazil;GK;73;38;Cagliari;Playstation
Hitoshi Sogahata;Japan;GK;66;40;Kashima Antlers;Playstation
Yasuhito Endo;Japan;CDM|CM|CAM;71;40;Gamba Osaka;Playstation
Yoshito Okubo;Japan;ST|CAM;67;38;Júbilo Iwata;Playstation
Paulo Da Silva;Paraguay;CB;68;40;Club Libertad;Playstation
Guillermo Ochoa;Mexico;GK;78;35;Club América;Playstation
Antonio Mirante;Italy;GK;78;37;Roma;Playstation
Peter Cherrie;Scotland;GK;59;36;Derry City;Playstation
Jô;Brazil;ST;74;33;Nagoya Grampus;Playstation
Brian Murphy;Republic of Ireland;GK;62;37;Waterford FC;Playstation
Alex Baptiste;England;RB|CB;65;34;Doncaster Rovers;Playstation
Jake Buxton;England;CB;67;35;Burton Albion;Playstation
Chris Beardsley;England;ST;59;36;Burton Albion;Playstation
Andy Butler;England;CB;63;36;Scunthorpe United;Playstation
Ross Wallace;Scotland;RM|CM;67;35;St. Mirren;Playstation
David Marshall;Scotland;GK;71;35;Wigan Athletic;Playstation
Ragnar Klavan;Estonia;CB;75;34;Cagliari;Playstation
Zlatko Dedic;Slovenia;ST|LW;69;35;WSG Swarovski Tirol;Playstation
Krisztián Vadócz;Hungary;CDM|CM;71;35;Club Atlético Peñarol;Playstation
Sammy Bossut;Belgium;GK;72;34;SV Zulte Waregem;Playstation
Johnny Thomsen;Denmark;RB;65;38;Randers FC;Playstation
Mark McNulty;Republic of Ireland;GK;61;39;Cork City;Playstation
Aitor Sanz;Spain;CDM;71;35;CD Tenerife;Playstation
Lisandro López;Argentina;ST;80;37;Racing Club;Playstation
Carlos Araujo;Argentina;RB|LB;71;38;Club Atlético Huracán;Playstation
Marcelo Barovero;Argentina;GK;75;36;Monterrey;Playstation
Javier Mascherano;Argentina;CB|CDM|CM;79;36;Estudiantes de La Plata;Playstation
Jonathan Bottinelli;Argentina;CB;72;35;Unión de Santa Fe;Playstation
Walter Montillo;Argentina;CAM;72;36;Universidad de Chile;Playstation
Pablo Zabaleta;Argentina;RB;74;35;West Ham United;Playstation
Jonás Gutiérrez;Argentina;RB|CM;70;37;Club Atlético Banfield;Playstation
Andriy Pyatov;Ukraine;GK;77;36;Shakhtar Donetsk;Playstation
Javier Gandolfi;Argentina;CB;71;39;Club Atlético Talleres;Playstation
Román Martínez;Argentina;CM;71;37;Club Atlético Aldosivi;Playstation
Mariano Barbosa;Argentina;GK;75;36;Villarreal CF;Playstation
Enrique Bologna;Argentina;GK;71;38;River Plate;Playstation
Jesús Dátolo;Argentina;CM|CAM;75;36;Club Atlético Banfield;Playstation
Carlos Tévez;Argentina;ST|CAM;78;36;Boca Juniors;Playstation
Gustavo Lorenzetti;Chile;CM|CAM;69;35;Deportes Iquique;Playstation
Emiliano Papa;Argentina;LB;70;38;Arsenal de Sarandí;Playstation
Alejandro Gómez;Argentina;ST|CAM|CF;86;32;Atalanta;Playstation
José Sosa;Argentina;CDM|CM;80;35;Trabzonspor;Playstation
Fernando Belluschi;Argentina;CM|CAM;73;36;Club Atlético Lanús;Playstation
Luciano Pocrnjic;Argentina;GK;71;38;Club Atlético Aldosivi;Playstation
Gökhan Gönül;Turkey;RB;74;35;Besiktas JK;Playstation
Arda Turan;Turkey;LM|CM;76;33;FC Barcelona;Playstation
Ferhat Öztorun;Turkey;LB;68;33;Konyaspor;Playstation
Muhammet Demir;Turkey;ST|CAM;71;28;Gazisehir Gaziantep Futbol Kulübü;Playstation
Yekta Kurtulus;Turkey;CDM|CM|CAM;67;34;Antalyaspor;Playstation
Christian Schwegler;Switzerland;RB;66;36;FC Luzern;Playstation
David Zibung;Switzerland;GK;63;36;FC Luzern;Playstation
