name;nationality;position;overall;age;real_team;device
Darren Potter;Republic of Ireland;CDM|CM;64;35;Tranmere Rovers;PC
Richard Foster;Scotland;RWB|RB|LB|RW;64;34;Ross County FC;PC
Angulo;Spain;ST;72;36;Górnik Zabrze;PC
James Milner;England;RB|LB|CM;81;34;Liverpool;PC
Roman Hubník;Czech Republic;CB;72;36;Viktoria Plzen;PC
Chris O'Grady;England;ST;60;34;Bolton Wanderers;PC
Billy Jones;England;RB;66;33;Rotherham United;PC
Germán Lux;Argentina;GK;73;38;River Plate;PC
Maximiliano López;Argentina;ST;71;36;Crotone;PC
Dean Lewington;England;LB|LWB|LW;64;36;Milton Keynes Dons;PC
Davide Moscardelli;Italy;ST|CF;69;40;Pisa;PC
Roberto Vitiello;Italy;RB|CB;65;37;Castellammare di Stabia;PC
Antolín Alcaraz;Paraguay;CB;73;37;Club Olimpia;PC
Giorgio Chiellini;Italy;CB;88;35;Juventus;PC
Willy Caballero;Argentina;GK;75;38;Chelsea;PC
Leonardo Ponzio;Argentina;CB|CDM;74;38;River Plate;PC
Nani;Portugal;RW|LW;80;33;Orlando City Soccer Club;PC
Luis Michel;Mexico;GK;64;41;Club Tijuana;PC
Daniel Lopar;Switzerland;GK;67;35;Western Sydney Wanderers;PC
Boštjan Cesar;Slovenia;CB;71;38;Chievo Verona;PC
David Nugent;England;ST;67;35;Preston North End;PC
Christian Fuchs;Austria;LB;73;34;Leicester City;PC
Jason Shackell;England;CB;66;36;Lincoln City;PC
Matt Harrold;England;ST;60;36;Leyton Orient;PC
Dean Gerken;England;GK;66;35;Colchester United;PC
Craig Conway;Scotland;RM|LM;64;35;Salford City;PC
Federico Marchetti;Italy;GK;72;37;Genoa;PC
Vincent Kompany;Belgium;CB;82;34;RSC Anderlecht;PC
Santiago Silva;Uruguay;ST;72;39;Argentinos Juniors;PC
Jérémy Morel;Madagascar;LB|CB;76;36;Stade Rennais FC;PC
Rafael;Brazil;GK;73;38;Cagliari;PC
Hitoshi Sogahata;Japan;GK;66;40;Kashima Antlers;PC
Yasuhito Endo;Japan;CDM|CM|CAM;71;40;Gamba Osaka;PC
Yoshito Okubo;Japan;ST|CAM;67;38;Júbilo Iwata;PC
Paulo Da Silva;Paraguay;CB;68;40;Club Libertad;PC
Guillermo Ochoa;Mexico;GK;78;35;Club América;PC
Antonio Mirante;Italy;GK;78;37;Roma;PC
Peter Cherrie;Scotland;GK;59;36;Derry City;PC
Jô;Brazil;ST;74;33;Nagoya Grampus;PC
Brian Murphy;Republic of Ireland;GK;62;37;Waterford FC;PC
Alex Baptiste;England;RB|CB;65;34;Doncaster Rovers;PC
Jake Buxton;England;CB;67;35;Burton Albion;PC
Chris Beardsley;England;ST;59;36;Burton Albion;PC
Andy Butler;England;CB;63;36;Scunthorpe United;PC
Ross Wallace;Scotland;RM|CM;67;35;St. Mirren;PC
David Marshall;Scotland;GK;71;35;Wigan Athletic;PC
Ragnar Klavan;Estonia;CB;75;34;Cagliari;PC
Zlatko Dedic;Slovenia;ST|LW;69;35;WSG Swarovski Tirol;PC
Krisztián Vadócz;Hungary;CDM|CM;71;35;Club Atlético Peñarol;PC
Sammy Bossut;Belgium;GK;72;34;SV Zulte Waregem;PC
Johnny Thomsen;Denmark;RB;65;38;Randers FC;PC
Mark McNulty;Republic of Ireland;GK;61;39;Cork City;PC
Aitor Sanz;Spain;CDM;71;35;CD Tenerife;PC
Lisandro López;Argentina;ST;80;37;Racing Club;PC
Carlos Araujo;Argentina;RB|LB;71;38;Club Atlético Huracán;PC
Marcelo Barovero;Argentina;GK;75;36;Monterrey;PC
Javier Mascherano;Argentina;CB|CDM|CM;79;36;Estudiantes de La Plata;PC
Jonathan Bottinelli;Argentina;CB;72;35;Unión de Santa Fe;PC
Walter Montillo;Argentina;CAM;72;36;Universidad de Chile;PC
Pablo Zabaleta;Argentina;RB;74;35;West Ham United;PC
Jonás Gutiérrez;Argentina;RB|CM;70;37;Club Atlético Banfield;PC
Andriy Pyatov;Ukraine;GK;77;36;Shakhtar Donetsk;PC
Javier Gandolfi;Argentina;CB;71;39;Club Atlético Talleres;PC
Román Martínez;Argentina;CM;71;37;Club Atlético Aldosivi;PC
Mariano Barbosa;Argentina;GK;75;36;Villarreal CF;PC
