name;nationality;position;overall;age;real_team;device
Byron Nieto;Chile;RB;62;22;CD Antofagasta;3
Adam Gnezda Cerin;Slovenia;CM;62;21;1. FC Nürnberg;3
Keita Takahata;Japan;CB|LWB|LM|LW;59;19;Oita Trinita;3
Jørgen Olsen Øveraas;Norway;RB|CB;58;30;Ranheim Fotball;3
Nail Umyarov;Russia;CDM|CM;68;20;Spartak Moscow;3
Rasmus Karjalainen;Finland;ST|RM;63;24;Fortuna Sittard;3
Robbe Quirynen;Belgium;RB|LB;63;18;Royal Antwerp FC;3
Nando Nöstlinger;Belgium;CM|CAM;61;22;RKC Waalwijk;3
Cristóbal Marín;Chile;CM;58;26;Audax Italiano;3
Diego Valdez;Paraguay;CDM|LM|CM;69;26;Club Sol de América;3
Juan Escobar;Paraguay;RB|CB;70;25;Cruz Azul;3
Rubén Cordano;Bolivia;GK;68;21;Club Social Cultural y Deportivo Blooming;3
Saúl Torres;Bolivia;RB;64;30;Free Agents;3
Adrián Jusino;Bolivia;CB|CDM;65;28;Club Bolívar;3
Ramiro Vaca;Bolivia;RM|LM|CAM;67;21;Free Agents;3
Davide Merola;Italy;ST|CF|LW;59;20;Empoli;3
Sebastiano Esposito;Italy;ST;67;18;Inter;3
Linas Klimavicius;Lithuania;CB;66;31;Fotbal Club Politehnica Ia?i;3
Ionu? Balaur;Romania;CB;64;31;Fotbal Club Voluntari;3
Cosmin Achim;Romania;CB;58;24;Fotbal Club Voluntari;3
Alexandru Rau?a;Romania;CDM;64;28;Fotbal Club Dinamo Bucure?ti;3
Mihai Capa?îna;Romania;CM|CAM|RW;65;24;Fotbal Club Voluntari;3
Ion Gheorghe;Romania;RM|LM|CAM;67;20;Fotbal Club Voluntari;3
Lewis Miller;Australia;RB|CB;57;19;Central Coast Mariners;3
Andrew Russell;Hong Kong;CB;67;32;Hebei China Fortune FC;3
Sofiane Bouzian;Belgium;GK;59;20;KV Mechelen;3
Gaétan Bosiers;Belgium;CM|CAM;58;21;KV Mechelen;3
Santiago Moreno;Colombia;RM|LM|LW;60;20;América de Cali;3
William Togui;Ivory Coast;ST;68;23;KV Mechelen;3
Doru Popadiuc;Romania;LM;63;25;Fotbal Club Politehnica Ia?i;3
Alexandru Tudorie;Romania;ST;65;24;Fotbal Club Voluntari;3
Adrian Balan;Romania;ST;62;30;Asocia?ia Fotbal Club Hermannstadt;3
Catalin Straton;Romania;GK;62;30;Fotbal Club Dinamo Bucure?ti;3
Alin Dobrosavlevici;Romania;CB;61;25;Asocia?ia Fotbal Club Hermannstadt;3
?tefan Vladoiu;Romania;RB;64;21;U Craiova 1948 Club Sportiv;3
Gabriel Simion;Romania;CDM|CM;65;22;Asocia?ia Fotbal Club Astra Giurgiu;3
Aymen Souda;France;LM|CAM;60;27;Livingston FC;3
Daniel Benzar;Romania;RW;61;22;Fotbal Club Voluntari;3
Andrei Cristea;Romania;GK;57;20;Clubul Sportiv Gaz Metan Media?;3
Ionu? Larie;Romania;CB;67;33;Clubul Sportiv Gaz Metan Media?;3
Razvan Trif;Romania;LB;59;22;Clubul Sportiv Gaz Metan Media?;3
Sorin Bu?u;Romania;LB;64;31;Asocia?ia Fotbal Club Hermannstadt;3
Valentin Cre?u;Romania;RB|RM;69;31;Fotbal Club FCSB;3
Marian Plea?ca;Romania;RB;64;30;Clubul Sportiv Gaz Metan Media?;3
Roberto Romeo;Italy;RB|RM;63;30;Clubul Sportiv Gaz Metan Media?;3
Paul Costea;Romania;LM|CM;57;21;Clubul Sportiv Gaz Metan Media?;3
Darius Olaru;Romania;CM|RW;68;22;Fotbal Club FCSB;3
Antoni Ivanov;Bulgaria;CM|CAM;66;24;U Craiova 1948 Club Sportiv;3
Catalin Cabuz;Romania;GK;68;24;Fotbal Club Viitorul Constan?a;3
Toma Niga;Romania;GK;57;22;Fotbal Club FCSB;3
Ionu? Stoica;Romania;CB;61;32;Asocia?ia Fotbal Club Hermannstadt;3
Daniel Tatar;Romania;RB|LB;62;32;Asocia?ia Fotbal Club Hermannstadt;3
Lucian Dumitriu;Romania;CM|CAM;63;27;Asocia?ia Fotbal Club Hermannstadt;3
Razvan Dâlbea;Romania;CDM;64;38;Asocia?ia Fotbal Club Hermannstadt;3
Petri?or Petrescu;Romania;RM;66;27;Asocia?ia Fotbal Club Hermannstadt;3
Eduard Pap;Romania;GK;65;26;Fotbal Club Boto?ani;3
Andrei Miron;Romania;CB;69;26;Fotbal Club FCSB;3
Andrei Burca;Romania;CB;72;27;CFR Cluj;3
Andrei Chindri?;Romania;CB;69;21;Fotbal Club Boto?ani;3
Andrei Pi?ian;Romania;CB;62;24;AFC Chindia Târgovi?te;3
Andrei Patache;Romania;RB;63;32;Fotbal Club Boto?ani;3
Jonathan Rodríguez;Argentina;CDM|CM;71;30;Fotbal Club Boto?ani;3
Enriko Papa;lbania;CDM|CM;65;27;Fotbal Club Boto?ani;3
Loránd Fülöp;Romania;CM|CAM;65;23;Sepsi OSK Sfântu Gheorghe;3
Marian Târ?a;Romania;CDM|CM;57;22;Fotbal Club Boto?ani;3
